html_link,processed_video_link,transcript_id,year,part
https://www.ft.dk/forhandlinger/20111/20111M078_2012-05-03_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/78.aspx,20111M078_2012-05-03_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M077_2012-05-02_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/77.aspx,20111M077_2012-05-02_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M076_2012-04-27_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/76.aspx,20111M076_2012-04-27_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M075_2012-04-26_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/75.aspx,20111M075_2012-04-26_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M074_2012-04-25_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/74.aspx,20111M074_2012-04-25_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M073_2012-04-24_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/73.aspx,20111M073_2012-04-24_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M072_2012-04-20_0900.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/72.aspx,20111M072_2012-04-20_0900,2011,1
https://www.ft.dk/forhandlinger/20111/20111M071_2012-04-19_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/71.aspx,20111M071_2012-04-19_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M070_2012-04-18_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/70.aspx,20111M070_2012-04-18_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M069_2012-04-17_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/69.aspx,20111M069_2012-04-17_1200,2011,1
https://www.ft.dk/forhandlinger/20111/20111M068_2012-04-13_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/68.aspx,20111M068_2012-04-13_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M067_2012-04-11_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/67.aspx,20111M067_2012-04-11_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M066_2012-04-10_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/66.aspx,20111M066_2012-04-10_1300,2011,1
https://www.ft.dk/forhandlinger/20111/20111M065_2012-03-30_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/65.aspx,20111M065_2012-03-30_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M064_2012-03-29_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/64.aspx,20111M064_2012-03-29_1000,2011,1
https://www.ft.dk/forhandlinger/20111/20111M063_2012-03-28_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20111/salen/63.aspx,20111M063_2012-03-28_1300,2011,1
